iter	Passed	Remaining
283	2058	1565
284	2065	1558
285	2072	1550
286	2086	1548
287	2093	1540
288	2100	1533
289	2105	1525
290	2112	1517
291	2118	1509
292	2125	1501
293	2131	1493
294	2138	1485
295	2144	1477
296	2150	1469
297	2156	1461
298	2162	1453
299	2169	1446
300	2176	1438
301	2182	1430
302	2188	1422
303	2194	1414
304	2200	1406
305	2206	1398
306	2211	1390
307	2217	1382
308	2224	1375
309	2230	1367
310	2238	1360
311	2245	1352
312	2251	1345
313	2258	1337
314	2266	1331
315	2276	1325
316	2288	1321
317	2295	1313
318	2301	1305
319	2307	1298
320	2313	1290
321	2320	1282
322	2327	1275
323	2332	1267
324	2339	1259
325	2346	1252
326	2353	1244
327	2359	1237
328	2366	1230
329	2373	1222
330	2379	1215
331	2386	1207
332	2392	1199
333	2398	1192
334	2405	1184
335	2411	1177
336	2418	1169
337	2424	1162
338	2430	1154
339	2437	1147
340	2470	1152
341	2490	1150
342	2498	1143
343	2504	1135
344	2511	1128
345	2518	1120
346	2524	1112
347	2529	1104
348	2536	1097
349	2542	1089
350	2548	1081
351	2555	1074
352	2562	1067
353	2569	1059
354	2575	1051
355	2581	1044
356	2588	1036
357	2594	1029
358	2601	1021
359	2607	1013
360	2613	1006
361	2620	998
362	2626	991
363	2633	983
364	2639	976
365	2646	969
366	2652	961
367	2658	953
368	2665	946
369	2672	938
370	2678	931
371	2686	924
372	2693	917
373	2700	909
374	2713	904
375	2722	897
376	2728	890
377	2734	882
378	2740	875
379	2747	867
380	2753	859
381	2760	852
382	2766	845
383	2772	837
384	2778	830
385	2785	822
386	2792	815
387	2798	807
388	2805	800
389	2811	793
390	2818	785
391	2826	778
392	2833	771
393	2839	763
394	2846	756
395	2853	749
396	2860	742
397	2867	734
398	2873	727
399	2879	719
400	2886	712
401	2893	705
402	2901	698
403	2912	691
404	2923	685
405	2930	678
406	2936	671
407	2943	663
408	2949	656
409	2955	648
410	2962	641
411	2969	634
412	2975	626
413	2982	619
414	2989	612
415	2995	604
416	3001	597
417	3008	590
418	3014	582
419	3020	575
420	3026	567
421	3032	560
422	3037	552
423	3044	545
424	3051	538
425	3059	531
426	3066	524
427	3073	517
428	3080	509
429	3093	503
430	3106	497
431	3120	491
432	3127	483
433	3133	476
434	3140	469
435	3146	461
436	3152	454
437	3159	447
438	3164	439
439	3171	432
440	3177	425
441	3183	417
442	3191	410
443	3200	403
444	3206	396
445	3212	389
446	3219	381
447	3225	374
448	3232	367
449	3238	359
450	3244	352
451	3251	345
452	3258	338
453	3264	330
454	3270	323
455	3277	316
456	3284	309
457	3290	301
458	3297	294
459	3337	290
460	3349	283
461	3355	275
462	3362	268
463	3368	261
464	3375	254
465	3381	246
466	3387	239
467	3392	231
468	3398	224
469	3405	217
470	3412	210
471	3418	202
472	3424	195
473	3431	188
474	3437	180
475	3443	173
476	3449	166
477	3458	159
478	3464	151
479	3471	144
480	3477	137
481	3484	130
482	3492	122
483	3498	115
484	3505	108
485	3519	101
486	3527	94
487	3534	86
488	3540	79
489	3546	72
490	3554	65
491	3560	57
492	3567	50
493	3573	43
494	3579	36
495	3586	28
496	3592	21
497	3598	14
498	3605	7
499	3611	0
